"",,,,,,,FLUXO DE PAGAMENTO,
"",,,,,ENTRADA,,,
"",,,,,,Mensais,Anuais Única,Financiame
"",,Área privativa,Valor,,,,,
Unidade,Pavimento,1 parcela(m2),Unidade,ATO,3 parcelas,17 parcelas,2 parcelas,
"",,,,set/23,out/23,jan/24,abr/24 jun/25,jul/25
U0103,1o andar,"106,92",889.540,26.686,26.686,6.279,71.163 47.413,486.312
U0104,1o andar,"115,21",964.336,28.930,28.930,6.807,77.147 51.399,527.202
U0105,1o andar,"115,21",946.506,28.395,28.395,6.681,75.720 50.449,517.455
U0204,2o andar,"115,21",988.109,29.643,29.643,6.975,79.049 52.666,540.199
U0205,2o andar,"115,21",952.449,28.573,28.573,6.723,76.196 50.766,520.704
U1003,10o andar,"95,91",798.098,23.943,23.943,5.634,63.848 42.539,436.320
U1004,10o andar,"115,21",1.010.358,30.311,30.311,7.132,80.829 53.852,552.363
U1303,13o andar,"95,91",807.993,24.240,24.240,5.703,64.639 43.066,441.730
U2103,21o andar,"95,91",817.888,24.537,24.537,5.773,65.431 43.593,447.140
U2303,23o andar,"95,91",817.888,24.537,24.537,5.773,65.431 43.593,447.140
